[00000020] (8.04155, 4.29417) => 7721.18
[00000408] (3.00994, 9.63875) => 40991.8
[00000411] (2.02828, 1.31759) => 2.53904
[00000412] (1.14521, 4.95366) => 1.95749
[00000414] (1.39368, 5.86519) => 7.00715
[00000417] (3.33978, 1.67362) => 7.525
[00000419] (4.73763, 1.5203) => 10.6428
[00000422] (7.98023, 3.96667) => 3784.42
[00000425] (5.41434, 2.37599) => 55.3222
[00000430] (8.00379, 3.35454) => 1071.88
[00000433] (9.55079, 4.09021) => 10199.3
[00000435] (9.32734, 7.55189) => 2.10624e+07
[00000436] (3.62788, 2.58559) => 27.9918
[00000439] (6.24535, 4.82473) => 6891.99
[00000442] (5.92089, 1.52091) => 14.9531
[00000443] (8.64188, 7.71727) => 1.69067e+07
[00000446] (2.55813, 5.89072) => 252.907
[00000449] (1.74271, 5.26961) => 18.671
[00000451] (8.20851, 6.89877) => 2.02907e+06
[00000453] (2.57586, 2.70448) => 12.9221
[00000456] (3.49401, 6.41004) => 3039.01
[00000460] (1.45546, 6.46534) => 11.3202
[00000463] (4.06015, 3.23735) => 93.3392
[00000466] (4.99319, 7.22877) => 111794
[00000469] (9.96837, 5.72362) => 519689
[00000472] (8.34655, 5.14925) => 55598.8
[00000476] (8.64471, 1.72762) => 41.5283
[00000479] (7.14839, 4.20476) => 3906.04
[00000482] (4.43203, 1.87425) => 16.2891
[00000484] (4.52254, 1.50005) => 9.61849
[00000487] (6.61234, 5.29167) => 21930.6
[00000490] (7.98514, 6.84684) => 1.50587e+06
[00000492] (9.07934, 7.16089) => 7.2531e+06
[00000495] (3.07236, 2.07128) => 10.2257
[00000498] (8.29421, 5.9903) => 318960
[00000503] (6.55721, 3.54288) => 782.6
[00000506] (2.42502, 4.03899) => 35.7983
[00000507] (9.52462, 9.73157) => 3.35524e+09
[00000510] (5.93716, 2.54693) => 93.38
[00000514] (4.79404, 8.14093) => 347972
[00000518] (1.79293, 4.31769) => 12.4395
[00000521] (1.42639, 9.58921) => 30.1324
[00000525] (4.32004, 6.33635) => 10633.5
[00000527] (3.20141, 7.40007) => 5489.87
[00000530] (9.0815, 3.29044) => 1421.55
[00000534] (4.42062, 6.26428) => 11053.1
[00000537] (9.02783, 4.4052) => 16200.9
[00000542] (3.46664, 9.13138) => 85135.1
[00000545] (9.7966, 2.78488) => 575.469
[00000547] (9.35851, 6.61828) => 2.67746e+06
[00000550] (6.99116, 5.96653) => 109402
[00000553] (3.78334, 1.30298) => 5.66186
[00000558] (1.7138, 4.42417) => 10.8411
[00000561] (1.51366, 4.88811) => 7.58568
[00000564] (3.838, 1.28307) => 5.61625
[00000567] (8.4767, 4.88622) => 34317.7
[00000570] (9.32394, 4.59728) => 28676
[00000571] (2.54746, 3.51403) => 26.7347
[00000573] (1.08333, 6.77505) => 1.71994
[00000576] (2.5789, 1.01076) => 2.60534
[00000579] (4.79886, 6.16852) => 15907.8
[00000582] (7.84906, 1.24598) => 13.0293
[00000585] (4.79379, 9.52304) => 3.03479e+06
[00000590] (9.2354, 8.11653) => 6.85725e+07
[00000593] (4.2665, 3.05598) => 84.234
[00000596] (7.83624, 7.04367) => 1.98518e+06
[00000599] (1.6859, 6.47182) => 29.3772
[00000601] (6.8079, 4.54538) => 6114.52
[00000606] (3.92229, 3.97919) => 230.041
[00000608] (9.95492, 6.65417) => 4.3764e+06
[00000611] (7.06937, 6.8128) => 611867
[00000615] (7.68456, 4.55027) => 10710.4
[00000619] (2.86484, 8.04423) => 4753.53
[00000622] (6.32461, 5.03065) => 10708.3
[00000625] (3.13522, 8.9265) => 26911.4
[00000628] (1.60816, 8.3576) => 53.0168
[00000631] (7.05148, 9.18122) => 6.14105e+07
[00000635] (5.83456, 3.19836) => 281.82
[00000638] (1.01734, 3.27468) => 1.05792
[00000641] (7.75528, 6.27857) => 384945
[00000644] (4.19233, 7.41694) => 41373.2
[00000647] (5.77394, 3.34311) => 351.307
[00000652] (9.46566, 9.04165) => 6.69902e+08
[00000655] (2.41108, 5.81294) => 166.637
[00000659] (9.73749, 6.51059) => 2.72507e+06
[00000661] (8.11259, 7.35754) => 4.88856e+06
[00000664] (5.643, 7.27199) => 291728
[00000665] (7.64106, 4.64211) => 12580.5
[00000666] (3.16749, 2.7749) => 24.5151
[00000668] (7.5607, 9.66214) => 3.08166e+08
[00000671] (9.60324, 1.01267) => 9.88241
[00000674] (1.70946, 8.99922) => 124.611
[00000675] (2.14476, 7.94128) => 428.12
[00000678] (1.26709, 6.95268) => 5.18545
[00000681] (6.05617, 2.05059) => 40.1764
[00000682] (8.91613, 5.22652) => 92494
[00000685] (1.86541, 1.92138) => 3.31327
[00000687] (4.92422, 5.59877) => 7520.38
[00000690] (3.52497, 4.49798) => 289.13
[00000693] (1.57609, 5.45162) => 11.9434
[00000696] (4.94662, 7.15758) => 93232.9
[00000701] (2.54175, 5.2992) => 140.244
[00000704] (6.51083, 3.9474) => 1628.36
[00000708] (8.39965, 7.14883) => 4.04932e+06
[00000711] (5.02039, 8.20185) => 558914
[00000715] (5.55385, 2.65941) => 95.5387
[00000718] (2.38047, 2.50799) => 8.80372
[00000721] (7.5729, 4.29809) => 6013.8
[00000726] (7.7886, 7.66702) => 6.83652e+06
[00000729] (1.30034, 8.98194) => 10.5791
[00000730] (1.0275, 4.41644) => 1.12729
[00000733] (2.96923, 3.43303) => 41.9372
[00000736] (4.24745, 8.76605) => 320773
[00000738] (3.89453, 8.05907) => 57348.7
[00000741] (5.52213, 7.37789) => 298662
[00000742] (3.37681, 5.66958) => 991.771
[00000744] (2.31598, 3.60268) => 20.6074
[00000745] (7.07057, 9.35667) => 8.8729e+07
[00000746] (2.77989, 2.37151) => 11.2984
[00000748] (1.66833, 8.3401) => 71.4245
[00000751] (8.96638, 8.3241) => 8.50515e+07
[00000754] (7.83647, 7.90662) => 1.17346e+07
[00000756] (7.95662, 9.62852) => 4.7063e+08
[00000759] (7.62873, 8.3471) => 2.3223e+07
[00000763] (3.14753, 4.82133) => 251.699
[00000766] (6.67436, 3.64934) => 1019.88
[00000771] (5.56784, 5.60882) => 15220.4
[00000775] (4.31568, 3.14683) => 99.631
[00000779] (4.18243, 4.62286) => 746.073
[00000782] (8.32061, 6.66648) => 1.36205e+06
[00000786] (1.79569, 7.57197) => 84.1472
[00000789] (6.48227, 7.17724) => 669822
[00000792] (7.14121, 3.0821) => 427.971
[00000799] (2.79428, 7.43048) => 2070.14
[00000802] (5.771, 4.59756) => 3161.52
[00000804] (5.38666, 6.42111) => 49646
[00000807] (9.91794, 8.69474) => 4.6092e+08
[00000811] (1.40858, 6.0766) => 8.01852
[00000816] (5.46332, 8.86828) => 3.46718e+06
[00000820] (5.65886, 1.28075) => 9.20577
[00000824] (2.47053, 8.08189) => 1494.45
[00000829] (1.51032, 6.77281) => 16.3229
[00000832] (7.6897, 1.55488) => 23.8496
[00000836] (6.31182, 9.83254) => 7.3715e+07
[00000839] (2.5568, 8.34898) => 2534.24
[00000843] (8.98325, 6.51315) => 1.62126e+06
[00000846] (9.24192, 7.05634) => 6.52742e+06
[00000848] (7.26271, 6.03634) => 157718
[00000853] (3.10041, 3.74826) => 69.4974
[00000856] (8.6119, 1.71612) => 40.2481
[00000860] (8.59827, 5.97633) => 384020
[00000863] (5.43759, 9.78691) => 1.57527e+07
[00000866] (8.02709, 7.13688) => 2.85579e+06
[00000869] (6.27937, 4.23172) => 2379.88
[00000871] (3.07708, 8.57607) => 15357.1
[00000875] (7.85102, 5.79902) => 154772
[00000878] (7.66959, 6.13931) => 270325
[00000881] (1.29607, 4.41144) => 3.1395
[00000884] (2.25321, 1.073) => 2.39087
[00000888] (8.26588, 3.18316) => 831.526
[00000893] (4.39926, 5.9002) => 6252.74
[00000896] (3.45383, 2.9966) => 41.0273
[00000900] (1.45574, 8.18681) => 21.6338
[00000903] (9.16422, 9.95037) => 3.74287e+09
[00000907] (2.68447, 8.46243) => 4257.79
[00000910] (1.23185, 2.0906) => 1.54641
[00000913] (3.11007, 3.27721) => 41.2014
[00000918] (6.1054, 8.54984) => 5.22069e+06
[00000921] (7.88658, 3.80866) => 2605.82
[00000922] (2.04229, 7.79071) => 260.639
[00000924] (9.93964, 1.52022) => 32.8261
[00000927] (9.45384, 2.90601) => 684.117
[00000930] (4.24341, 5.2795) => 2060.73
[00000932] (5.83107, 3.5249) => 500.251
[00000934] (5.32991, 5.29719) => 7072.56
[00000937] (7.66445, 7.2861) => 2.7824e+06
[00000938] (4.23486, 8.53221) => 223010
[00000940] (3.22223, 1.14651) => 3.82478
[00000942] (1.61031, 8.78728) => 65.7905
[00000945] (2.16038, 1.93592) => 4.44249
[00000948] (6.63685, 4.19546) => 2808.73
[00000951] (9.15472, 6.10034) => 735130
[00000955] (8.54581, 4.83031) => 31670.6
[00000958] (4.53727, 9.77803) => 2.64336e+06
[00000961] (2.94523, 5.48472) => 374.101
[00000964] (4.55381, 8.90025) => 723930
[00000969] (5.00664, 2.49863) => 55.9641
[00000970] (7.16131, 5.0976) => 22824.8
[00000972] (2.71307, 5.94936) => 379.159
[00000975] (8.98423, 7.54364) => 1.55852e+07
[00000978] (7.35989, 9.3026) => 1.1592e+08
[00000982] (1.78104, 8.57529) => 141.126
[00000985] (1.21025, 9.25414) => 5.84691
[00000986] (1.69278, 3.09861) => 5.10913
[00000988] (3.66509, 9.58317) => 254519
[00000991] (6.25704, 2.08773) => 45.9836
[00000994] (5.86927, 4.49509) => 2850.05
[00000997] (5.84175, 2.20893) => 49.3449
[00001000] (6.34556, 5.10481) => 12487
[00001005] (7.97132, 5.2876) => 58470.1
[00001008] (1.93032, 6.81789) => 88.5921
[00001014] (8.78885, 6.69068) => 2.06797e+06
[00001017] (2.07175, 8.53127) => 499.76
[00001018] (9.30153, 8.17209) => 8.22465e+07
[00001020] (8.94695, 9.6595) => 1.55849e+09
[00001023] (5.08563, 4.41563) => 1315.09
[00001026] (1.19298, 1.40592) => 1.28157
[00001029] (3.19545, 3.22569) => 42.4097
[00001032] (3.23065, 7.39009) => 5803.58
[00001037] (7.44983, 5.2552) => 38309
[00001040] (8.79824, 7.69738) => 1.85943e+07
[00001045] (5.25254, 1.64311) => 15.2633
[00001048] (5.18838, 3.03471) => 147.882
[00001053] (4.62474, 5.75726) => 6746.58
[00001056] (3.20612, 6.61365) => 2220.08
[00001059] (1.82951, 5.97346) => 36.9023
[00001062] (3.49516, 4.17394) => 185.523
[00001065] (6.56694, 1.04069) => 7.08955
[00001066] (4.00882, 1.76796) => 11.6443
[00001068] (2.28962, 5.1558) => 71.5925
[00001070] (4.08208, 7.23933) => 26446.7
[00001073] (7.76467, 5.6532) => 107656
[00001077] (1.21701, 9.07804) => 5.94691
[00001080] (3.89621, 8.28335) => 78072.3
[00001085] (3.77421, 9.08864) => 174811
[00001088] (9.23324, 2.57345) => 304.994
[00001093] (9.13379, 8.72093) => 2.38653e+08
[00001095] (2.20662, 1.2224) => 2.63131
[00001099] (4.22544, 4.10921) => 373.112
[00001102] (7.88409, 5.30351) => 57007.6
[00001105] (5.4821, 1.63868) => 16.2517
[00001108] (1.53665, 8.95837) => 46.9248
[00001112] (1.60975, 5.15622) => 11.6438
[00001117] (8.71678, 6.37835) => 995214
[00001120] (5.44412, 1.3454) => 9.77504
[00001123] (1.89177, 2.84951) => 6.15088
[00001127] (3.01204, 4.09791) => 91.691
[00001131] (7.52209, 3.86077) => 2417.38
[00001133] (9.57653, 4.96832) => 74981.7
[00001135] (5.27986, 1.00083) => 5.28712
[00001136] (8.31371, 5.20552) => 61377
[00001137] (5.19414, 5.09382) => 4412.66
[00001142] (4.16803, 6.29439) => 7981.48
[00001144] (2.36563, 1.79634) => 4.69607
[00001151] (9.75865, 1.23883) => 16.8146
[00001155] (3.45967, 8.02971) => 21295.6
[00001158] (7.03349, 8.14071) => 7.88078e+06
[00001161] (5.20192, 8.09393) => 626006
[00001162] (1.37346, 7.98238) => 12.5918
[00001164] (6.99015, 9.67119) => 1.46955e+08
[00001167] (2.70545, 8.08954) => 3137.79
[00001171] (5.22097, 6.95691) => 98475.3
[00001173] (4.64126, 7.49639) => 99394.1
[00001176] (2.05342, 7.15624) => 172.254
[00001182] (3.50921, 7.17245) => 8137.38
[00001186] (6.60983, 5.62101) => 40766.4
[00001189] (8.49029, 4.29887) => 9847.31
[00001192] (5.13331, 7.10822) => 112113
[00001195] (7.20991, 8.9673) => 4.93532e+07
[00001198] (8.7907, 6.69191) => 2.07647e+06
[00001201] (6.6598, 8.89971) => 2.13089e+07
[00001204] (9.31342, 8.28743) => 1.07505e+08
[00001208] (9.52058, 8.24308) => 1.16736e+08
[00001213] (1.98363, 4.40807) => 20.4752
[00001216] (8.40672, 5.33311) => 85337
[00001220] (8.03434, 9.26413) => 2.41864e+08
[00001223] (8.75172, 1.16615) => 12.5494
[00001228] (7.8988, 8.83807) => 8.56457e+07
[00001230] (9.16914, 9.10051) => 5.72378e+08
[00001234] (3.43745, 9.45681) => 117783
[00001239] (4.75878, 2.52235) => 51.1545
[00001244] (1.55659, 6.45454) => 17.3941
[00001247] (7.80809, 8.28735) => 2.49364e+07
[00001250] (5.98603, 6.45117) => 103147
[00001253] (5.53316, 1.25265) => 8.5248
[00001256] (1.66355, 3.2965) => 5.35358
[00001262] (4.67844, 7.20557) => 67369.4
[00001265] (1.17901, 6.46374) => 2.89917
[00001269] (2.62221, 2.07149) => 7.36658
[00001272] (6.47728, 6.3576) => 144049
[00001277] (1.01255, 5.76844) => 1.0746
[00001280] (1.587, 1.57152) => 2.06637
[00001282] (3.4777, 1.70901) => 8.41541
[00001285] (1.97349, 5.63602) => 46.1268
[00001288] (9.80276, 2.10383) => 121.794
[00001293] (6.51456, 7.65932) => 1.71319e+06
[00001297] (2.04685, 3.88585) => 16.1747
[00001299] (6.60274, 8.53345) => 9.88715e+06
[00001300] (9.62253, 4.79589) => 51969.5
[00001304] (6.78878, 9.30307) => 5.47288e+07
[00001309] (6.46578, 5.58451) => 33645.2
[00001313] (2.56093, 8.44298) => 2806.05
[00001316] (3.71601, 2.38975) => 23.0325
[00001320] (8.1696, 6.23324) => 485255
[00001325] (3.05971, 7.42294) => 4028.77
[00001328] (5.99204, 4.41972) => 2733.14
[00001332] (5.22246, 6.22805) => 29577.6
[00001335] (6.48482, 8.93661) => 1.80142e+07
[00001339] (1.94094, 5.29057) => 33.4006
[00001342] (2.48919, 9.79256) => 7558.31
[00001345] (9.98747, 6.95124) => 8.86036e+06
[00001348] (4.95278, 4.54201) => 1432.23
[00001351] (9.32865, 8.41816) => 1.45911e+08
[00001355] (8.14641, 8.31361) => 3.74472e+07
[00001358] (5.52437, 7.04305) => 169018
[00001361] (2.4452, 3.90068) => 32.7109
[00001364] (4.70589, 3.03621) => 110.226
[00001366] (1.12741, 1.8015) => 1.24115
[00001369] (4.33303, 2.29464) => 28.9206
[00001370] (3.78501, 3.739) => 145.009
[00001372] (1.43202, 8.53914) => 21.4623
[00001375] (6.91288, 4.77719) => 10261.5
[00001378] (7.39568, 8.58447) => 2.88213e+07
[00001380] (7.16685, 4.6898) => 10264
[00001383] (1.88331, 2.52209) => 4.93605
[00001387] (6.76125, 6.53551) => 265861
[00001390] (8.24789, 7.37133) => 5.68415e+06
[00001393] (9.63055, 2.75575) => 513.685
[00001396] (4.14217, 6.73323) => 14319.8
[00001398] (3.47136, 6.91454) => 5461.48
[00001401] (4.58664, 5.57542) => 4876.5
[00001402] (5.53942, 1.35224) => 10.1238
[00001405] (4.06475, 9.21248) => 408047
[00001408] (1.20375, 7.38982) => 3.93689
[00001412] (6.84176, 8.82618) => 2.35146e+07
[00001415] (9.71377, 1.9178) => 78.2737
[00001419] (5.36467, 7.4318) => 264130
[00001422] (3.1249, 3.63916) => 63.2107
[00001425] (9.69223, 7.68187) => 3.78078e+07
[00001429] (1.95449, 9.4124) => 548.677
[00001432] (5.26513, 7.52745) => 269386
[00001435] (1.04335, 9.74629) => 1.51219
[00001438] (3.28423, 9.71596) => 104147
[00001441] (2.69005, 7.25987) => 1318.28
[00001444] (7.01928, 5.15662) => 23121.2
[00001445] (6.95822, 8.40475) => 1.20499e+07
[00001448] (8.26759, 3.18692) => 838.72
[00001453] (4.69082, 9.72797) => 3.38754e+06
[00001456] (4.84178, 9.27948) => 2.27243e+06
[00001459] (5.19071, 6.45278) => 41228.8
[00001462] (5.5754, 2.67327) => 98.854
[00001465] (5.11609, 2.96094) => 125.638
[00001466] (2.24669, 6.85674) => 257.299
[00001467] (2.8734, 4.44089) => 108.565
[00001470] (9.70778, 6.60246) => 3.29172e+06
[00001475] (6.76926, 2.75313) => 193.459
[00001477] (1.93208, 7.08952) => 106.607
[00001480] (7.03711, 2.68296) => 187.726
[00001485] (4.14178, 4.40871) => 526.012
[00001488] (2.61942, 1.04429) => 2.73354
[00001491] (6.38009, 5.69902) => 38612.4
[00001492] (1.69691, 1.07342) => 1.76409
[00001495] (2.48042, 7.62667) => 1020.74
[00001499] (2.77096, 3.6495) => 41.2458
[00001502] (5.76797, 3.4545) => 425.551
[00001505] (4.30736, 9.25353) => 739087
[00001508] (5.46164, 5.28786) => 7922.45
[00001511] (2.14313, 1.2175) => 2.5296
[00001515] (1.87664, 3.79057) => 10.871
[00001517] (9.66669, 4.16538) => 12707.4
[00001520] (3.20821, 6.8477) => 2929.12
[00001521] (8.36849, 3.42368) => 1441.62
[00001524] (3.27441, 2.85403) => 29.5261
[00001527] (4.31706, 4.98585) => 1468.77
[00001531] (1.39459, 8.59008) => 17.4101
[00001534] (6.96084, 8.11675) => 6.91311e+06
[00001537] (8.97434, 6.14201) => 713437
[00001540] (8.3909, 5.88892) => 275574
[00001543] (4.65575, 3.11016) => 119.552
[00001549] (4.19066, 8.21383) => 129216
[00001552] (1.66165, 6.95293) => 34.1509
[00001556] (9.50524, 6.7605) => 4.08804e+06
[00001559] (7.77202, 8.9466) => 9.27364e+07
[00001562] (9.42372, 1.45142) => 25.942
[00001564] (9.60495, 2.37472) => 215.353
[00001568] (4.58006, 3.36805) => 168.207
[00001571] (6.02268, 2.52825) => 93.6492
[00001574] (3.0692, 9.98152) => 72653.6
[00001577] (3.80947, 3.23856) => 76.0621
[00001578] (8.60408, 9.20437) => 4.01202e+08
[00001581] (5.39965, 4.84905) => 3558.59
[00001584] (5.9397, 9.34704) => 1.70769e+07
[00001586] (7.01358, 4.0464) => 2648.58
[00001589] (4.78476, 9.61855) => 3.46157e+06
[00001591] (2.31624, 1.17723) => 2.68802
[00001595] (1.51821, 2.28983) => 2.60148
[00001598] (3.81094, 7.30677) => 17598.1
[00001601] (6.62173, 3.32985) => 541.639
[00001604] (3.02274, 4.92176) => 231.426
[00001607] (4.0824, 1.63165) => 9.92664
[00001611] (6.69238, 5.21677) => 20270.6
[00001613] (3.03678, 6.30295) => 1098.05
[00001616] (4.94027, 4.53184) => 1393.04
[00001619] (7.40212, 8.7851) => 4.33891e+07
[00001622] (5.52959, 6.80627) => 113492
[00001625] (9.04805, 7.525) => 1.5779e+07
[00001626] (9.36939, 1.49972) => 28.6614
[00001628] (4.32479, 3.6419) => 207.071
[00001631] (2.85931, 9.96164) => 35084.2
[00001634] (3.52868, 9.60543) => 181992
[00001637] (1.44221, 6.43608) => 10.5563
[00001640] (6.70829, 7.74649) => 2.53129e+06
[00001645] (9.65822, 2.93993) => 786.189
[00001648] (8.29824, 3.28843) => 1052.01
[00001650] (3.4579, 6.66394) => 3895.99
[00001653] (3.18651, 6.94763) => 3139.4
[00001656] (3.06048, 9.30093) => 32983.7
[00001661] (7.50214, 4.17541) => 4510.84
[00001665] (7.6676, 9.61294) => 3.19283e+08
[00001669] (6.94842, 6.77076) => 501427
[00001671] (5.34046, 6.18037) => 31383.8
[00001675] (6.49928, 5.06514) => 13100.3
[00001678] (3.21856, 6.6905) => 2491.78
[00001681] (5.59172, 3.50747) => 418.788
[00001686] (1.96408, 5.55827) => 42.6046
[00001689] (1.41354, 9.10978) => 23.4037
[00001690] (2.87814, 3.32346) => 33.5616
[00001692] (1.17907, 8.96483) => 4.3787
[00001695] (5.94256, 1.99446) => 34.967
[00001697] (4.90497, 4.51849) => 1320.19
[00001700] (6.47969, 6.9949) => 475049
[00001703] (6.69426, 9.5943) => 8.35677e+07
[00001707] (1.0136, 2.44359) => 1.03355
[00001710] (3.82372, 8.86234) => 145275
[00001713] (7.66842, 5.64661) => 98988.9
[00001716] (4.73322, 4.34326) => 855.819
[00001717] (6.91777, 3.71207) => 1312.25
[00001719] (7.01108, 4.88702) => 13594.8
[00001723] (1.33441, 7.11422) => 7.78623
[00001726] (3.49009, 8.91159) => 68792.8
[00001729] (8.86426, 3.28925) => 1309.29
[00001732] (9.79805, 3.38194) => 2248.93
[00001735] (5.73207, 1.01536) => 5.8879
[00001739] (3.32987, 7.18766) => 5688.86
[00001742] (5.80089, 7.70131) => 758414
[00001745] (3.5717, 6.46818) => 3767.86
[00001749] (3.76955, 3.8904) => 174.582
[00001752] (4.51744, 1.51373) => 9.80231
[00001757] (1.12024, 1.88422) => 1.23855
[00001760] (4.80127, 6.59573) => 31191.9
[00001763] (6.60715, 1.96962) => 41.2205
[00001766] (9.94448, 7.7933) => 5.9491e+07
[00001769] (6.43965, 9.79844) => 8.42532e+07
[00001770] (7.6644, 8.9397) => 8.07175e+07
[00001772] (3.60503, 9.05276) => 110043
[00001775] (2.9074, 5.28096) => 280.382
[00001778] (6.43698, 5.19001) => 15742.4
[00001782] (5.89372, 4.78928) => 4893.35
